pano,Constituency,YG_Con_Pct,YG_Lab_Pct,YG_LD_Pct,YG_SNP_Pct,YG_PC_Pct,YG_Grn_Pct,YG_UKIP_Pct,YG_Other_Pct,AC_Con_Pct,AC_Lab_Pct,AC_LD_Pct,AC_SNP_Pct,AC_PC_Pct,AC_Grn_Pct,AC_UKIP_Pct,AC_Other_Pct,AC_Con_Pr,AC_Lab_Pr,AC_LD_Pr,AC_SNP_Pr,AC_PC_Pr,AC_Grn_Pr,AC_UKIP_Pr,AC_Other_Pr,H_Con_Pct,H_Lab_Pct,H_LD_Pct,H_SNP_Pct,H_PC_Pct,H_Grn_Pct,H_UKIP_Pct,H_Other_Pct,H_Con_Pr,H_Lab_Pr,H_LD_Pr,H_SNP_Pr,H_PC_Pr,H_Grn_Pr,H_UKIP_Pr,H_Other_Pr,BBC_Con_Pct,BBC_Lab_Pct,BBC_LD_Pct,BBC_SNP_Pct,BBC_PC_Pct,BBC_Grn_Pct,BBC_UKIP_Pct,BBC_Other_Pct,BBC_Con_Pr,BBC_Lab_Pr,BBC_LD_Pr,BBC_SNP_Pr,BBC_PC_Pr,BBC_Grn_Pr,BBC_UKIP_Pr,BBC_Other_Pr,BBC_Brexit,OC_Con_Pr,OC_Lab_Pr,OC_LD_Pr,OC_SNP_Pr,OC_PC_Pr,OC_Grn_Pr,OC_UKIP_Pr,OC_Other_Pr,OC_Con_Odd,OC_Lab_Odd,OC_LD_Odd,OC_SNP_Odd,OC_PC_Odd,OC_Grn_Odd,OC_UKIP_Odd,OC_Other_Odd
70,Blackpool South,42.7,44.5,3.2,0,0,2.3,7.2,0,44,41,4,,,,8,3,55,45,0,0,0,0,0,0,41,42,3,0,0,1,13,0,43,57,0,0,0,0,0,0,42,53,2,0,0,1,2,0,2,98,0,0,0,0,0,0,67.8,57,43,,,,,,,0.800000012,1.399999976,,,,,,
71,Blaenau Gwent,18.5,65.3,1.8,0,8.2,0,5.1,1.1,24,52,3,,13,,6,2,1,99,0,0,0,0,0,0,11,55,3,0,7,0,17,7,0,100,0,0,0,0,0,0,22,63,2,0,9,0,4,0,0,100,0,0,0,0,0,0,62,,94,,,6,,,,,0.071428575,,,9,,,
72,Blaydon,28,50.4,9.4,0,0,2,7,3.2,28,51,12,,,,7,3,3,97,0,0,0,0,0,0,26,48,11,0,0,1,15,0,0,100,0,0,0,0,0,0,22,62,13,0,0,2,2,0,0,100,0,0,0,0,0,0,56.3,3,97,,,,,,,11,0.039999999,,,,,,
73,Blyth Valley,38.2,52.1,6.4,0,0,3.2,0,0,38,52,7,,,,,3,12,88,0,0,0,0,0,0,39,49,6,0,0,6,0,0,9,91,0,0,0,0,0,0,29,63,6,0,0,2,0,0,0,100,0,0,0,0,0,0,59.9,27,73,,,,,,,2.75,0.363636374,,,,,,
74,Bognor Regis and Littlehampton,51.9,25.5,9.7,0,0,2.1,6.8,4,61,19,9,,,,8,3,100,0,0,0,0,0,0,0,55,19,8,0,0,2,16,0,100,0,0,0,0,0,0,0,61,21,9,0,0,2,7,0,100,0,0,0,0,0,0,0,64.2,100,,,,,,,,,,,,,,,
75,Bolsover,33.7,55.4,3,0,0,0,7.9,0,49,36,5,,,,11,,14,86,0,0,0,0,0,0,33,45,3,0,0,0,19,0,4,96,0,0,0,0,0,0,30,63,2,0,0,0,5,0,0,100,0,0,0,0,0,0,70.3,10,90,,,,,,,5.5,0.117647059,,,,,,
76,Bolton North East,38.2,49.5,3.6,0,0,2.1,6.7,0,40,47,4,,,,7,2,29,71,0,0,0,0,0,0,39,42,3,0,0,1,14,0,31,69,0,0,0,0,0,0,41,54,2,0,0,1,3,0,0,100,0,0,0,0,0,0,57.8,56,44,,,,,,,0.833333313,1.25,,,,,,
77,Bolton South East,32.2,52.8,3.2,0,0,2.7,9.1,0,30,53,5,,,,10,2,2,98,0,0,0,0,0,0,27,50,3,0,0,1,19,0,0,100,0,0,0,0,0,0,25,64,2,0,0,1,8,0,0,100,0,0,0,0,0,0,63.4,3,97,,,,,,,10,0.039999999,,,,,,
78,Bolton West,43.9,44.7,5.1,0,0,0,6.3,0,46,43,5,,,,6,,55,45,0,0,0,0,0,0,45,37,6,0,0,0,12,0,88,12,0,0,0,0,0,0,43,54,3,0,0,0,0,0,1,99,0,0,0,0,0,0,55.5,88,12,,,,,,,0.142857149,6,,,,,,
79,Bootle,21.6,68.5,3.9,0,0,3.3,0,2.7,17,76,4,,,,,3,0,100,0,0,0,0,0,0,19,75,3,0,0,1,0,1,0,100,0,0,0,0,0,0,9,86,2,0,0,1,0,1,0,100,0,0,0,0,0,0,54.9,,100,,,,,,,,,,,,,,
80,Boston and Skegness,51.8,27.6,3.6,0,0,2.3,11.7,3,59,23,4,,,,12,2,100,0,0,0,0,0,0,0,43,22,3,0,0,0,30,1,90,0,0,0,0,0,10,0,53,25,2,0,0,0,19,2,100,0,0,0,0,0,0,0,75,96,,,,,,4,,0.050000001,,,,,,16,
81,Bosworth,50.6,29,18.5,0,0,1.8,0,0,54,24,21,,,,,1,99,1,0,0,0,0,0,0,58,18,22,0,0,2,0,0,100,0,0,0,0,0,0,0,50,25,25,0,0,0,0,0,100,0,0,0,0,0,0,0,60.8,97,,3,,,,,,0.039999999,,16,,,,,
82,Bournemouth East,49.9,28.9,9.4,0,0,3.7,5,3.1,54,27,8,,,,6,4,99,1,0,0,0,0,0,0,53,21,9,0,0,3,13,2,100,0,0,0,0,0,0,0,56,30,9,0,0,1,2,2,100,0,0,0,0,0,0,0,53.5,100,,,,,,,,,,,,,,,
83,Bournemouth West,49.1,35.5,8.8,0,0,3.1,0,3.5,57,31,9,,,,,4,99,1,0,0,0,0,0,0,61,22,10,0,0,6,0,0,100,0,0,0,0,0,0,0,62,29,8,0,0,1,0,0,100,0,0,0,0,0,0,0,57.9,100,,,,,,,,,,,,,,,
84,Bracknell,54.3,27.9,10.1,0,0,0,5.5,2.1,60,24,8,,,,6,3,100,0,0,0,0,0,0,0,57,22,9,0,0,0,11,0,100,0,0,0,0,0,0,0,62,31,7,0,0,0,0,0,100,0,0,0,0,0,0,0,53.3,100,,,,,,,,,,,,,,,
85,Bradford East,19,58,11.7,0,0,1.8,4,5.5,23,53,17,,,,5,2,1,99,0,0,0,0,0,0,20,48,18,0,0,1,14,1,0,100,0,0,0,0,0,0,14,56,25,0,0,0,4,0,0,100,0,0,0,0,0,0,55.2,4,90,6,,,,,,14,0.117647059,12,,,,,
86,Bradford South,35.4,51.1,2.3,0,0,1.8,7.6,1.8,41,47,,,,,9,3,30,70,0,0,0,0,0,0,32,43,5,0,0,2,18,0,3,96,0,0,0,0,0,0,33,55,2,0,0,1,9,0,0,100,0,0,0,0,0,0,63.6,25,75,,,,,,,3,0.333333343,,,,,,
87,Bradford West,17.9,58.7,5,0,0,2.3,3.4,12.7,22,57,6,,,,4,12,0,100,0,0,0,0,0,0,23,45,6,0,0,1,12,13,0,100,0,0,0,0,0,0,14,58,2,0,0,1,4,22,0,100,0,0,0,0,0,0,46.7,1,76,,,,,,23,18,0.285714298,,,,,,4
88,Braintree,60.1,26.4,5.8,0,0,1.8,5.9,0,57,27,5,,,,8,3,99,1,0,0,0,0,0,0,57,22,6,0,0,1,15,0,100,0,0,0,0,0,0,0,64,28,4,0,0,1,4,0,100,0,0,0,0,0,0,0,61.4,100,,,,,,,,,,,,,,,
89,Brecon and Radnorshire,40.4,16.3,36.2,0,4.2,0,2.9,0,47,25,20,,5,,3,,96,3,1,0,0,0,0,0,33,21,31,0,9,0,5,0,62,1,38,0,0,0,0,0,51,18,24,0,4,0,3,0,100,0,0,0,0,0,0,0,51.7,83,,17,,,,,,0.200000003,,3.5,,,,,
90,Brent Central,20.4,66.5,7.8,0,0,2.4,2.9,0,25,64,6,,,,2,3,0,100,0,0,0,0,0,0,29,56,10,0,0,1,3,0,0,100,0,0,0,0,0,0,14,82,2,0,0,2,0,0,0,100,0,0,0,0,0,0,42.9,5,95,,,,,,,10,0.0625,,,,,,
91,Brent North,33.8,55.9,6.5,0,0,2.4,0,1.4,39,50,8,,,,,2,13,87,0,0,0,0,0,0,43,48,7,0,0,1,0,1,26,74,0,0,0,0,0,0,27,68,3,0,0,1,0,0,0,100,0,0,0,0,0,0,43.1,7,93,,,,,,,8,0.083333336,,,,,,
92,Brentford and Isleworth,40.2,52.6,7.2,0,0,0,0,0,45,48,8,,,,,,37,63,0,0,0,0,0,0,50,41,7,0,0,0,0,0,92,8,0,0,0,0,0,0,37,56,7,0,0,0,0,0,0,100,0,0,0,0,0,0,43.3,53,47,,,,,,,0.833333313,1.100000024,,,,,,
93,Brentwood and Ongar,55.7,22.4,10.4,0,0,2.5,6.5,2.4,62,21,10,,,,6,2,100,0,0,0,0,0,0,0,62,17,8,0,0,1,12,0,100,0,0,0,0,0,0,0,65,24,9,0,0,1,1,0,100,0,0,0,0,0,0,0,60.9,98,,2,,,,,,0.030303031,,16,,,,,
94,Bridgend,39,46.7,1.8,0,6.4,0,5.1,1,38,42,5,,9,,4,3,37,63,0,0,0,0,0,0,26,37,5,0,5,0,12,15,4,96,0,0,0,0,0,0,39,43,3,0,7,0,5,3,23,77,0,0,0,0,0,0,49.7,53,47,,,,,,,0.800000012,1,,,,,,
95,Bridgwater and West Somerset,50.2,31.6,8.2,0,0,2.6,7.4,0,53,26,11,,,,7,3,99,1,0,0,0,0,0,0,54,20,11,0,0,1,14,0,100,0,0,0,0,0,0,0,54,26,13,0,0,3,4,0,100,0,0,0,0,0,0,0,62.2,100,,,,,,,,,,,,,,,
96,Brigg and Goole,54.1,35.7,3.3,0,0,1.7,5.2,0,58,30,4,,,,6,2,99,1,0,0,0,0,0,0,57,29,4,0,0,0,9,0,100,0,0,0,0,0,0,0,60,38,2,0,0,0,0,0,100,0,0,0,0,0,0,0,66.2,100,,,,,,,,,,,,,,,
97,"Brighton, Kemptown",39.8,51.2,6.1,0,0,0,0,2.9,44,47,5,,,,,4,42,58,0,0,0,0,0,0,46,41,8,0,0,0,0,0,76,24,0,0,0,0,0,0,44,54,2,0,0,0,0,0,1,99,0,0,0,0,0,0,43.4,53,47,,,,,,,0.800000012,1,,,,,,
98,"Brighton, Pavilion",18.1,20.9,0,0,0,56.3,1.9,2.8,26,42,,,,,2,31,24,76,0,0,0,0,0,0,22,36,0,0,0,32,6,0,1,48,0,0,0,50,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,25.7,3,3,,,,94,,,16,16,,,,0.083333336,,
99,Bristol East,36.8,55.2,5.4,0,0,2.6,0,0,41,47,7,,,,,5,29,71,0,0,0,0,0,0,43,41,6,0,0,9,0,0,62,38,0,0,0,0,0,0,36,57,6,0,0,2,0,0,0,100,0,0,0,0,0,0,46.8,54,46,,,,,,,0.909090936,1.25,,,,,,
100,Bristol North West,38.5,50.9,8,0,0,2.6,0,0,46,40,10,,,,,3,65,35,0,0,0,0,0,0,49,37,7,0,0,7,0,0,94,6,0,0,0,0,0,0,47,48,5,0,0,0,0,0,49,51,0,0,0,0,0,0,41.6,91,9,,,,,,,0.111111112,7,,,,,,
101,Bristol South,29.5,54.3,6.3,0,0,3.6,4.5,1.8,31,46,9,,,,7,6,10,90,0,0,0,0,0,0,32,40,9,0,0,4,14,1,14,85,0,0,0,0,0,0,28,54,9,0,0,5,3,1,0,100,0,0,0,0,0,0,47.1,27,73,,,,,,,3,0.400000006,,,,,,
102,Bristol West,13.1,56.8,12.5,0,0,16,0,1.6,18,53,15,,,,,14,0,100,0,0,0,0,0,0,19,38,24,0,0,18,0,1,0,87,8,0,0,5,0,0,12,48,19,0,0,20,0,0,0,100,0,0,0,0,0,0,20.7,0,76,6,,,18,,,28,0.333333343,16,,,4.5,,
103,Broadland,52.2,30.8,8.1,0,0,2.3,6.6,0,56,26,9,,,,6,3,99,1,0,0,0,0,0,0,53,22,10,0,0,2,14,0,100,0,0,0,0,0,0,0,59,28,10,0,0,2,2,0,100,0,0,0,0,0,0,0,54.1,100,,,,,,,,,,,,,,,
104,Bromley and Chislehurst,47.3,33.7,9.8,0,0,2.1,7.1,0,57,26,8,,,,7,3,99,1,0,0,0,0,0,0,55,25,6,0,0,2,12,0,100,0,0,0,0,0,0,0,54,35,5,0,0,2,4,0,100,0,0,0,0,0,0,0,49.8,100,,,,,,,,,,,,,,,
105,Bromsgrove,57.5,34.7,5.6,0,0,2.2,0,0,64,27,7,,,,,2,100,0,0,0,0,0,0,0,65,27,5,0,0,3,0,0,100,0,0,0,0,0,0,0,58,37,4,0,0,1,0,0,100,0,0,0,0,0,0,0,55.4,100,,,,,,,,,,,,,,,
106,Broxbourne,58.3,27.7,5.2,0,0,1.5,7.3,0,62,23,4,,,,9,2,100,0,0,0,0,0,0,0,59,21,4,0,0,1,15,0,100,0,0,0,0,0,0,0,66,27,2,0,0,1,4,0,100,0,0,0,0,0,0,0,65.8,100,,,,,,,,,,,,,,,
107,Broxtowe,44,44.8,5.3,0,0,1.8,4.1,0,48,39,6,,,,4,2,75,25,0,0,0,0,0,0,49,36,6,0,0,1,8,0,97,3,0,0,0,0,0,0,47,50,2,0,0,1,0,0,36,64,0,0,0,0,0,0,52.4,94,6,,,,,,,0.071428575,12,,,,,,
108,Buckingham,0,0,0,0,0,19.3,13.7,67,,,,,,,13,87,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,48.7,,,,,,,,100,,,,,,,,
109,Burnley,24.5,47.1,18,0,0,2.3,8,0,29,43,19,,,,7,2,15,85,0,0,0,0,0,0,26,37,18,0,0,1,18,0,11,86,0,0,0,0,2,0,18,52,28,0,0,0,2,0,0,100,0,0,0,0,0,0,66.6,18,67,15,,,,,,4.5,0.5,5.5,,,,,
110,Burton,57.8,35.1,4.9,0,0,2.3,0,0,62,33,3,,,,,2,99,1,0,0,0,0,0,0,63,32,4,0,0,2,0,0,100,0,0,0,0,0,0,0,58,39,2,0,0,1,0,0,100,0,0,0,0,0,0,0,64.6,100,,,,,,,,,,,,,,,
111,Bury North,45,50.4,4.6,0,0,0,0,0,48,47,6,,,,,,51,49,0,0,0,0,0,0,49,43,6,0,0,0,0,0,85,15,0,0,0,0,0,0,43,55,2,0,0,0,0,0,1,99,0,0,0,0,0,0,53.7,79,21,,,,,,,0.222222224,3,,,,,,
112,Bury South,38,51.8,3.3,0,0,0,5.3,1.5,44,44,5,,,,5,2,48,52,0,0,0,0,0,0,41,43,5,0,0,0,9,1,36,64,0,0,0,0,0,0,36,59,2,0,0,0,2,0,0,100,0,0,0,0,0,0,54.5,51,49,,,,,,,0.909090936,1,,,,,,
113,Bury St Edmunds,59.1,26.6,7.8,0,0,4.1,0,2.4,61,27,8,,,,,4,100,0,0,0,0,0,0,0,66,22,6,0,0,5,0,0,100,0,0,0,0,0,0,0,61,32,6,0,0,1,0,0,100,0,0,0,0,0,0,0,53.7,100,,,,,,,,,,,,,,,
114,Caerphilly,28.4,55.5,1.5,0,9.8,0.8,4,0,29,45,4,,14,,7,2,8,92,0,0,0,0,0,0,16,50,4,0,12,1,18,0,0,100,0,0,0,0,0,0,29,48,2,0,15,1,6,0,0,100,0,0,0,0,0,0,55.2,6,93,,,1,,,,10,0.083333336,,,25,,,
115,"Caithness, Sutherland and Easter Ross",26.9,13.9,25.4,33.7,0,0,0,0,26,11,22,40,,,,,11,0,7,82,0,0,0,0,20,14,27,38,0,0,0,0,0,0,17,83,0,0,0,0,14,11,40,35,0,0,0,0,0,0,81,19,0,0,0,0,49.4,,,50,50,,,,,,,1,1,,,,
116,Calder Valley,42.5,46.2,3.8,0,0,1.3,4.2,2,47,39,6,,,,4,3,72,28,0,0,0,0,0,0,48,37,6,0,0,1,7,1,95,5,0,0,0,0,0,0,45,48,4,0,0,2,0,1,40,60,0,0,0,0,0,0,53.2,97,3,,,,,,,0.039999999,10,,,,,,
117,Camberwell and Peckham,15.9,69.2,7.5,0,0,5.3,0,2.2,18,67,9,,,,,7,0,100,0,0,0,0,0,0,19,61,8,0,0,9,0,3,0,100,0,0,0,0,0,0,6,79,8,0,0,4,0,4,0,100,0,0,0,0,0,0,30.2,,100,,,,,,,,,,,,,,
118,Camborne and Redruth,47.3,40.8,8.9,0,0,3,0,0,51,32,12,,,,,5,96,4,0,0,0,0,0,0,54,29,12,0,0,4,0,0,100,0,0,0,0,0,0,0,49,37,14,0,0,0,0,0,99,1,0,0,0,0,0,0,57.9,99,1,,,,,,,0.024390243,25,,,,,,
119,Cambridge,13.2,50.3,32.1,0,0,1.9,0,2.5,18,46,32,,,,,4,0,88,12,0,0,0,0,0,24,39,32,0,0,5,0,0,1,74,25,0,0,0,0,0,13,49,36,0,0,1,0,0,0,100,0,0,0,0,0,0,26.2,,57,43,,,,,,,0.800000012,1.375,,,,,
120,North East Cambridgeshire,57.6,25.5,4.7,0,0,2.4,7.3,2.5,64,20,5,,,,8,2,100,0,0,0,0,0,0,0,58,19,5,0,0,1,17,0,100,0,0,0,0,0,0,0,65,22,4,0,0,2,7,0,100,0,0,0,0,0,0,0,69.4,100,,,,,,,,,,,,,,,
121,North West Cambridgeshire,55.4,26.7,8.1,0,0,2,7.8,0,55,27,7,,,,9,2,99,1,0,0,0,0,0,0,55,21,7,0,0,1,16,0,100,0,0,0,0,0,0,0,57,31,5,0,0,2,5,0,100,0,0,0,0,0,0,0,57,100,,,,,,,,,,,,,,,
122,South Cambridgeshire,49.8,27.4,19.7,0,0,3,0,0,52,25,19,,,,,4,99,1,0,0,0,0,0,0,58,21,17,0,0,4,0,0,100,0,0,0,0,0,0,0,51,28,20,0,0,0,0,0,100,0,0,0,0,0,0,0,38.4,100,,,,,,,,,,,,,,,
123,South East Cambridgeshire,49.5,23,27.5,0,0,0,0,0,54,28,18,,,,,,99,1,0,0,0,0,0,0,55,20,21,0,0,0,0,0,100,0,0,0,0,0,0,0,52,26,22,0,0,0,0,0,100,0,0,0,0,0,0,0,45,100,,,,,,,,,,,,,,,
124,Cannock Chase,49.1,38.7,2.8,0,0,1.9,7.6,0,51,36,4,,,,7,2,91,9,0,0,0,0,0,0,48,34,4,0,0,1,13,0,98,2,0,0,0,0,0,0,50,46,2,0,0,0,2,0,72,28,0,0,0,0,0,0,68.9,96,4,,,,,,,0.050000001,16,,,,,,
125,Canterbury,42.5,44.8,10.3,0,0,2.4,0,0,48,35,13,,,,,4,84,16,0,0,0,0,0,0,53,28,13,0,0,6,0,0,100,0,0,0,0,0,0,0,47,40,12,0,0,0,0,0,88,12,0,0,0,0,0,0,45.3,99,1,,,,,,,0.024390243,25,,,,,,
126,Cardiff Central,23.8,57.3,12.3,0,3.8,1.2,1.5,0,19,50,20,,5,,2,4,0,99,1,0,0,0,0,0,36,35,18,0,2,4,6,0,58,42,0,0,0,0,0,0,19,50,24,0,5,0,2,0,0,100,0,0,0,0,0,0,30.4,,75,25,,,,,,20,0.333333343,3,,,,,
127,Cardiff North,40.8,47.3,3.5,0,5.4,0,3.1,0,44,42,5,,6,,3,,53,47,0,0,0,0,0,0,35,42,10,0,6,0,8,0,14,86,0,0,0,0,0,0,49,37,6,0,4,0,3,0,99,1,0,0,0,0,0,0,39.1,67,33,,,,,,,0.5,2,,,,,,
128,Cardiff South and Penarth,29.6,53.4,1.9,0,5.9,2.5,2.6,4.2,34,45,6,,7,,5,3,19,81,0,0,0,0,0,0,22,45,7,0,5,2,9,10,0,100,0,0,0,0,0,0,32,50,4,0,7,2,4,1,0,100,0,0,0,0,0,0,44.9,24,76,,,,,,,3,0.285714298,,,,,,
129,Cardiff West,27.8,57.1,4.1,0,8.1,0,2.9,0,31,49,4,,11,,5,,6,94,0,0,0,0,0,0,22,46,10,0,12,0,8,0,0,100,0,0,0,0,0,0,31,49,4,0,14,0,2,0,0,100,0,0,0,0,0,0,44.8,25,75,,,,,,,3,0.333333343,,,,,,
130,Carlisle,44.7,47.1,3.2,0,0,0,5,0,48,44,4,,,,5,,62,38,0,0,0,0,0,0,49,37,5,0,0,0,9,0,97,3,0,0,0,0,0,0,51,46,2,0,0,0,2,0,82,18,0,0,0,0,0,0,60.5,96,4,,,,,,,0.050000001,12,,,,,,
131,Carmarthen East and Dinefwr,28.4,31.6,2.9,0,33.2,0,3.9,0,31,31,3,,30,,4,,34,35,0,0,31,0,0,0,20,30,3,0,33,0,10,0,0,36,0,0,63,0,0,0,26,29,2,0,38,0,5,0,0,3,0,0,97,0,0,0,53.8,14,7,,,79,,,,6,14,,,0.300000012,,,
132,Carmarthen West and Pembrokeshire South,43.1,39.1,5.5,0,7.2,0,5.2,0,48,32,4,,12,,4,,90,10,0,0,0,0,0,0,35,39,3,0,10,0,10,0,20,80,0,0,0,0,0,0,57,29,2,0,10,0,2,0,100,0,0,0,0,0,0,0,55.4,96,4,,,,,,,0.050000001,14,,,33,,,
133,Carshalton and Wallington,40.8,19.6,36.2,0,0,2,0,1.4,47,21,29,,,,,3,93,0,7,0,0,0,0,0,50,17,27,0,0,5,0,1,99,0,1,0,0,0,0,0,34,24,40,0,0,1,0,0,14,0,86,0,0,0,0,0,56.3,68,,32,,,,,,0.444444448,,2,,,,,
134,Castle Point,56,29.4,3.3,0,0,0,11.4,0,63,23,3,,,,11,,100,0,0,0,0,0,0,0,53,19,4,0,0,0,23,0,100,0,0,0,0,0,0,0,61,22,2,0,0,0,16,0,100,0,0,0,0,0,0,0,72.7,100,,,,,,,,,,,,,,,
135,Ceredigion,18.4,22.1,32.9,0,19.7,2.2,3.1,1.7,22,22,28,,22,,4,3,20,20,39,0,21,0,0,0,11,17,37,0,21,1,6,5,0,0,96,0,4,0,0,0,14,12,42,0,28,1,3,0,0,0,100,0,0,0,0,0,45.4,,,75,,25,,,,,,0.333333343,,3,,,
136,Charnwood,57.8,28.4,6.4,0,0,1.9,5.5,0,59,25,9,,,,6,1,100,0,0,0,0,0,0,0,59,23,7,0,0,0,11,0,100,0,0,0,0,0,0,0,57,36,6,0,0,0,0,1,100,0,0,0,0,0,0,0,58.3,100,,,,,,,,,,,,,,,
137,Chatham and Aylesford,51.8,33.4,4.2,0,0,1.9,7.3,1.4,55,29,6,,,,8,2,98,2,0,0,0,0,0,0,54,25,4,0,0,1,15,1,100,0,0,0,0,0,0,0,58,34,2,0,0,1,5,1,100,0,0,0,0,0,0,0,64.7,100,,,,,,,,,,,,,,,
138,Cheadle,45.2,22.3,32.5,0,0,0,0,0,48,26,26,,,,,,94,3,3,0,0,0,0,0,56,17,27,0,0,0,0,0,100,0,0,0,0,0,0,0,43,26,31,0,0,0,0,0,100,0,0,0,0,0,0,0,42.7,86,,14,,,,,,0.166666672,,4,,,,,
139,Chelmsford,48,31.2,13,0,0,2.1,5.7,0,54,27,11,,,,5,3,99,1,0,0,0,0,0,0,55,21,12,0,0,1,11,0,100,0,0,0,0,0,0,0,54,29,12,0,0,2,4,0,100,0,0,0,0,0,0,0,50.5,100,,,,,,,,,,,,,,,
140,Chelsea and Fulham,48.5,32.6,13.7,0,0,2.7,2.6,0,56,30,10,,,,2,2,99,1,0,0,0,0,0,0,62,27,6,0,0,1,4,0,100,0,0,0,0,0,0,0,57,33,8,0,0,2,0,0,100,0,0,0,0,0,0,0,29.2,100,,,,,,,,,,,,,,,
141,Cheltenham,43.7,15.5,38.5,0,0,2.4,0,0,49,20,28,,,,,3,96,0,4,0,0,0,0,0,48,13,37,0,0,2,0,0,91,0,9,0,0,0,0,0,49,15,36,0,0,0,0,0,100,0,0,0,0,0,0,0,42.8,80,,20,,,,,,0.25,,3.333333254,,,,,
142,Chesham and Amersham,55.9,19.3,17.7,0,0,2.5,4.6,0,58,18,15,,,,5,3,100,0,0,0,0,0,0,0,61,18,10,0,0,2,9,0,100,0,0,0,0,0,0,0,61,23,13,0,0,0,3,0,100,0,0,0,0,0,0,0,45,100,,,,,,,,,,,,,,,
143,City of Chester,41.1,54.4,4.5,0,0,0,0,0,44,49,7,,,,,,36,64,0,0,0,0,0,0,50,40,9,0,0,0,0,0,94,6,0,0,0,0,0,0,38,58,4,0,0,0,0,0,0,100,0,0,0,0,0,0,42.7,72,28,,,,,,,0.363636374,2.5,,,,,,
144,Chesterfield,26.6,53.6,10.3,0,0,3.1,6.4,0,29,48,12,,,,8,3,6,94,0,0,0,0,0,0,30,46,11,0,0,1,12,0,2,98,0,0,0,0,0,0,23,60,15,0,0,1,1,0,0,100,0,0,0,0,0,0,59.3,6,94,,,,,,,10,0.071428575,,,,,,
145,Chichester,53.3,26.5,11.7,0,0,2.3,4.6,1.5,61,17,11,,,,6,4,100,0,0,0,0,0,0,0,60,17,10,0,0,2,10,0,100,0,0,0,0,0,0,0,63,24,8,0,0,0,5,0,100,0,0,0,0,0,0,0,50.6,100,,,,,,,,,,,,,,,
146,Chingford and Woodford Green,49.8,39.6,7.8,0,0,2.8,0,0,57,33,7,,,,,3,97,3,0,0,0,0,0,0,59,31,6,0,0,4,0,0,100,0,0,0,0,0,0,0,49,44,4,0,0,2,0,0,79,21,0,0,0,0,0,0,49.2,99,1,,,,,,,0.024390243,16,,,,,,
147,Chippenham,52.3,18.1,29.6,0,0,0,0,0,54,21,25,,,,,,99,0,1,0,0,0,0,0,53,15,29,0,0,0,0,0,100,0,0,0,0,0,0,0,55,18,27,0,0,0,0,0,100,0,0,0,0,0,0,0,52.3,97,,3,,,,,,0.039999999,,12,,,,,
148,Chipping Barnet,45.1,43.4,9.1,0,0,2.4,0,0,51,37,9,,,,,3,86,14,0,0,0,0,0,0,56,35,6,0,0,3,0,0,100,0,0,0,0,0,0,0,44,46,7,0,0,3,0,0,41,59,0,0,0,0,0,0,40.9,100,,,,,,,,,,,,,,,
149,Chorley,41.5,53.2,3.5,0,0,1.7,0,0,48,46,4,,,,,2,56,44,0,0,0,0,0,0,49,45,4,0,0,2,0,0,75,25,0,0,0,0,0,0,38,59,2,0,0,0,0,0,0,100,0,0,0,0,0,0,56.6,51,49,,,,,,,0.909090936,1,,,,,,
150,Christchurch,66.2,23.2,8,0,0,2.6,0,0,68,21,8,,,,,3,100,0,0,0,0,0,0,0,71,16,9,0,0,4,0,0,100,0,0,0,0,0,0,0,74,17,6,0,0,2,0,0,100,0,0,0,0,0,0,0,59.9,100,,,,,,,,,,,,,,,
151,Cities of London and Westminster,40.5,39.1,12.1,0,0,3.7,2.5,2.2,48,35,11,,,,2,3,82,18,0,0,0,0,0,0,54,30,8,0,0,2,4,1,100,0,0,0,0,0,0,0,50,39,10,0,0,0,0,1,99,1,0,0,0,0,0,0,28.6,100,,,,,,,,,,,,,,,
152,Clacton,47.5,28.2,3.7,0,0,2,16.3,2.3,55,23,3,,,,17,2,99,1,0,0,0,0,0,0,43,17,2,0,0,1,37,0,66,0,0,0,0,0,34,0,46,22,1,0,0,1,30,0,100,0,0,0,0,0,0,0,71.1,93,0,,,,,7,,0.083333336,,,,,,7,
153,Cleethorpes,52.3,35.1,3.6,0,0,1.9,7.1,0,55,32,4,,,,7,2,97,3,0,0,0,0,0,0,51,31,5,0,0,1,12,0,99,1,0,0,0,0,0,0,54,41,2,0,0,0,3,0,100,0,0,0,0,0,0,0,68.4,99,1,,,,,,,0.024390243,20,,,,,,
154,Clwyd South,37.4,49.3,2.3,0,6.5,0,4.4,0,38,44,4,,8,,6,,32,68,0,0,0,0,0,0,26,44,5,0,8,0,16,0,0,100,0,0,0,0,0,0,47,38,3,0,10,0,2,0,97,3,0,0,0,0,0,0,60.3,63,37,,,,,,,0.533333361,1.625,,,,,,
155,Clwyd West,46.2,41.5,3.2,0,9.1,0,0,0,51,33,4,,12,,,,94,6,0,0,0,0,0,0,40,41,5,0,12,0,0,0,47,53,0,0,0,0,0,0,54,31,2,0,12,0,0,0,100,0,0,0,0,0,0,0,52.5,96,4,,,,,,,0.050000001,16,,,,,,
